,Title,Published_date,Views,Likes,Comments,Month
226,How to Scrape NBA Data Using the nba_api Python Module,2019-12-23,16518,577,93,Dec
227,Collision Course: Sports Betting + Data Science,2019-12-20,17414,488,27,Dec
228,3 Reasons You Should NOT Become a Data Scientist,2019-12-16,100903,2938,204,Dec
229,5 Sports Analytics Books to Get You Started,2019-12-13,10723,410,59,Dec
230,Math Needed for Mastering Data Science,2019-12-09,56097,2852,222,Dec
231,The 5 Stages of Data Science Adoption,2019-12-06,1320,69,17,Dec
232,How YOU Can Land a Sports Analytics Job,2019-12-02,68783,3057,231,Dec
233,Data Science Fundamentals: Linear Regression,2019-11-29,6322,172,42,Nov
234,Golf: Would You Rather Be the LONGEST or STRAIGHTEST Driver on the PGA Tour?,2019-11-25,1067,53,12,Nov
235,Sports Analytics 101: The Pythagorean Theorem of Sports,2019-11-22,5995,270,26,Nov
236,9 Ways You Can Make Extra Income as a Data Scientist,2019-11-18,46106,1755,80,Nov
237,Applying Data Science To My YouTube Data: My Surprising Findings,2019-11-11,5929,137,31,Nov
238,Why Selling Is An Important Data Science Skill,2019-11-04,1623,79,13,Nov
239,By The Numbers: Where Should The NBA Put a 4 Point Line?,2019-10-21,2826,73,18,Oct
240,Why is Balance Important in Data Science?,2019-10-16,702,32,13,Oct
241,How to Stay Productive & Motivated When Learning Data Science,2019-09-29,11834,581,54,Sep
242,How Far Should the NBA 3-Point Line Actually Be?,2019-09-21,3823,115,33,Sep
243,6 Habits of Successful Data Scientists,2019-09-13,2211,95,17,Sep
244,How To Build A Word Cloud From Scraped Data (Python),2019-09-04,4568,101,9,Sep
245,Thank You For The Support | What's Next | Ken Jee | Data Science,2019-08-26,519,24,29,Aug
246,Is Data Science Right For You?,2019-08-18,50650,1178,109,Aug
247,Data Science Fundamentals: Data Cleaning in Python,2019-08-11,14781,392,55,Aug
248,How To Get Data Science Experience (Without a Job),2019-08-08,29335,1385,75,Aug
249,Take Your Data Science Projects From Good to Great,2019-08-05,1603,107,11,Aug
250,The Projects You Should Do To Get A Data Science Job,2019-07-30,149952,5691,255,Jul
251,What Does a Data Scientist Actually Do?,2019-07-19,45921,1265,81,Jul
252,Data Science Fundamentals: Data Manipulation in Python (Pandas),2019-07-13,12868,353,42,Jul
253,Data Science Fundamentals: Data Exploration in Python (Pandas),2019-07-05,17791,527,61,Jul
254,Data Science: Pros and Cons,2019-06-30,5196,215,18,Jun
255,How I Got My First Data Science Internship (And How You Can Land One),2019-06-21,24494,1188,89,Jun
256,My Top 5 Data Science Internship Tips,2019-06-15,11844,493,23,Jun
257,Golf STATS: Strokes Gained Explained,2019-06-07,7404,153,28,Jun
258,Most Data Science Hopefuls Overlook This Important Skill,2019-05-25,615,44,5,May
259,What I Learned From My Three Degrees,2019-05-17,1254,60,12,May
260,I Wish I Had Known THIS Before Starting in Data Science,2019-05-14,25653,1072,66,May
261,NASA Physicist Turned Data Scientist (Tim Bowling) - KNN EP. 02,2019-05-05,1247,40,2,May
262,Should You Learn R for Data Science?,2019-04-25,20822,558,71,Apr
263,Scrape Twitter Data in Python with Twitterscraper Module,2019-04-18,46354,856,334,Apr
264,Work From Home Data Scientist: Day in the Life,2019-04-12,28069,760,101,Apr
265,Where to Look for Data Science Jobs,2019-03-29,3005,120,9,Mar
266,Data Science: Startup vs. Large Corporation,2019-03-21,2119,74,4,Mar
267,"Data Science, Machine Learning, and AI: What's the Difference?",2019-03-16,6141,175,26,Mar
268,Was Captain Marvel Bad? A Sentiment Analysis of Twitter Data,2019-03-09,4182,180,15,Mar
269,Why You DON'T Want to be a WFH Data Scientist,2019-03-03,802,33,12,Mar
270,Welcome To My Channel | Ken Jee | Data Science,2019-03-03,1437,36,8,Mar
271,Where YOU Should Start With Data Science Projects,2019-02-19,16673,347,17,Feb
272,Watch This Before Applying to Data Science Jobs,2019-02-04,1490,66,13,Feb
273,My Top 5 Data Science Resources for 2019,2019-01-05,3699,122,17,Jan
274,IT'S NOT TOO LATE TO LEARN CODE!,2018-12-18,832,36,6,Dec
275,The Best Way to Predict NBA Minutes Played,2018-12-11,4247,107,14,Dec
276,Demystifying Data Science Roles,2018-11-30,1129,53,5,Nov
277,How to Simulate NBA Games in Python,2018-11-19,17636,390,54,Nov
278,Should You Get A Masters in Data Science?,2018-11-14,20513,305,135,Nov
279,How I Became A Data Scientist From a Business Background,2018-11-12,6448,196,23,Nov
280,Predicting Season Long NBA Wins Using Multiple Linear Regression,2018-07-10,8656,193,17,Jul
281,Predicting Crypto-Currency Price Using RNN lSTM & GRU,2017-11-18,18883,292,41,Nov
